id,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length,Predicted_Category
1739,G Coetzee,2023-2025,30,89,6.35,87.25,3,7,2023,2025,3,Inexperienced - Potential Power Hitter
1740,M Dheeraj Kumar,2021-2023,11,89,11.12,139.06,6,6,2021,2023,3,Inexperienced - Potential Power Hitter
1741,A Johnson,2024-2024,3,89,29.66,121.91,12,4,2024,2024,1,Inexperienced - Potential Power Hitter
1742,BAD Manenti,2018-2025,33,89,9.88,90.81,3,2,2018,2025,8,Inexperienced - Potential Power Hitter
1743,JS Paris,2013-2025,52,89,6.84,93.68,4,3,2013,2025,13,Inexperienced - Potential Power Hitter
1744,NN Sen,2016-2023,12,89,8.09,89.89,8,0,2016,2023,8,Inexperienced - Potential Power Hitter
1745,VD Solanki,2007-2007,7,89,14.83,136.92,2,8,2007,2007,1,Inexperienced - Potential Power Hitter
1746,RP Srivastava,2007-2011,7,89,14.83,118.66,7,6,2007,2011,5,Inexperienced - Potential Anchor
1747,PI Sharma,2011-2013,5,88,17.6,97.77,14,0,2011,2013,3,Inexperienced - Potential Anchor
1748,MR Adair,2021-2025,16,88,8.0,97.77,6,2,2021,2025,5,Inexperienced - Potential Power Hitter
1749,W Antony Dhas,2015-2018,12,88,44.0,133.33,8,4,2015,2018,4,Inexperienced - Potential Anchor
1750,AB Dinda,2008-2021,137,88,4.63,75.21,6,2,2008,2021,14,Inexperienced - Potential Power Hitter
1751,R Elahi,2007-2007,4,88,44.0,118.91,9,2,2007,2007,1,Inexperienced - Potential Power Hitter
1752,JU Goolie,2023-2025,10,88,14.66,107.31,7,2,2023,2025,3,Inexperienced - Potential Power Hitter
1753,A Julka,2010-2010,3,88,44.0,144.26,11,2,2010,2010,1,Inexperienced - Potential Power Hitter
1754,U Manukrishnan,2011-2023,47,88,11.0,135.38,6,4,2011,2023,13,Inexperienced - Potential Power Hitter
1755,Nabam Tempol,2019-2024,16,88,8.0,59.86,5,5,2019,2024,6,Inexperienced - Potential Power Hitter
1756,MS Vardhan,2007-2010,5,88,22.0,106.02,11,1,2007,2010,4,Inexperienced - Potential Anchor
1757,D Yadav,2023-2023,7,88,22.0,114.28,10,2,2023,2023,1,Inexperienced - Potential Power Hitter
1758,Bikash Singh,2022-2023,9,87,12.42,96.66,6,3,2022,2023,2,Inexperienced - Potential Power Hitter
1759,N Deonarine,2010-2015,12,87,8.7,83.65,8,1,2010,2015,6,Inexperienced - Potential Power Hitter
1760,B Doggett,2017-2025,48,87,10.87,102.35,9,2,2017,2025,9,Inexperienced - Potential Power Hitter
1761,FH Edwards,2007-2021,68,87,9.66,102.35,6,2,2007,2021,15,Inexperienced - Potential Power Hitter
1762,TK Kotian,2021-2024,33,87,21.75,98.86,7,2,2021,2024,4,Inexperienced - Potential Anchor
1763,K Lalremruata,2019-2021,7,87,17.4,76.31,8,2,2019,2021,3,Inexperienced - Potential Anchor
1764,Mohit Mittan,2022-2022,6,87,17.4,106.09,6,4,2022,2022,1,Inexperienced - Potential Power Hitter
1765,CJL Rogers,2012-2012,6,87,14.5,90.62,7,1,2012,2012,1,Inexperienced - Potential Power Hitter
