id,player,span,mat,wickets,econ,sr,start_year,end_year,career_length
0,DJ Bravo,2007-2024,433,496,8.42,16.9,2007,2024,18
1,SP Narine,2011-2025,431,457,6.13,21.7,2011,2025,15
2,Rashid Khan,2016-2025,326,416,6.61,18.1,2016,2025,10
3,AD Russell,2012-2025,415,386,8.83,16.5,2012,2025,14
4,Shakib Al Hasan,2007-2025,319,336,6.9,19.3,2007,2025,19
5,PP Chawla,2007-2024,293,316,7.56,19.3,2007,2024,18
6,Imran Tahir,2013-2025,230,315,6.93,15.9,2013,2025,13
7,YS Chahal,2009-2025,250,290,7.53,18.2,2009,2025,17
8,A Mishra,2007-2024,253,277,7.19,18.6,2007,2024,18
9,R Ashwin,2007-2025,291,275,7.12,22.6,2007,2025,19
10,SL Malinga,2007-2019,195,263,7.11,16.6,2007,2019,13
11,JJ Bumrah,2013-2025,193,250,6.95,17.6,2013,2025,13
12,Mohammad Amir,2009-2025,205,247,7.18,18.1,2009,2025,17
13,B Kumar,2009-2025,233,242,7.43,21.0,2009,2025,17
14,JD Unadkat,2010-2025,199,237,8.01,17.8,2010,2025,16
15,TA Boult,2014-2025,187,229,7.95,18.3,2014,2025,12
16,HV Patel,2011-2025,186,229,8.34,16.5,2011,2025,15
17,A Zampa,2012-2025,181,223,7.38,17.5,2012,2025,14
18,Harbhajan Singh,2007-2021,251,222,6.86,23.1,2007,2021,15
19,Sandeep Sharma,2013-2025,203,222,7.68,20.0,2013,2025,13
20,Mustafizur Rahman,2015-2025,179,214,7.6,18.4,2015,2025,11
21,AJ Tye,2014-2025,153,209,8.19,15.7,2014,2025,12
22,Wahab Riaz,2014-2023,164,209,7.75,17.1,2014,2023,10
23,RA Jadeja,2007-2025,303,204,7.72,24.0,2007,2025,19
24,JO Holder,2013-2025,203,200,8.28,20.5,2013,2025,13
25,Mohammed Shami,2010-2025,165,200,8.22,17.8,2010,2025,16
26,KA Pollard,2009-2025,512,200,8.56,19.9,2009,2025,17
27,Mohammad Nabi,2010-2025,240,198,6.9,21.6,2010,2025,16
28,Imad Wasim,2016-2025,229,197,6.66,23.2,2016,2025,10
29,Sohail Tanvir,2007-2022,187,197,7.17,20.1,2007,2022,16
30,UT Yadav,2009-2024,185,190,8.3,20.0,2009,2024,16
31,Shadab Khan,2017-2025,158,189,7.27,17.5,2017,2025,9
32,AR Patel,2013-2025,227,184,7.05,25.3,2013,2025,13
33,R Vinay Kumar,2007-2019,170,181,7.86,19.2,2007,2019,13
34,Haris Rauf,2018-2025,139,180,8.51,16.9,2018,2025,8
35,SR Watson,2007-2020,297,180,8.04,21.1,2007,2020,14
36,K Rabada,2016-2025,134,179,8.35,16.4,2016,2025,10
37,S Kaul,2012-2023,142,178,7.65,17.2,2012,2023,12
38,SA Abbott,2011-2025,128,177,8.52,14.5,2011,2025,15
39,Shahid Afridi,2007-2022,166,176,6.96,19.7,2007,2022,16
40,NLTC Perera,2009-2025,249,175,8.63,19.3,2009,2025,17
41,SN Thakur,2015-2025,160,175,9.04,18.5,2015,2025,11
42,JP Behrendorff,2012-2025,138,174,7.45,17.1,2012,2025,14
43,KK Cooper,2011-2018,140,172,7.4,16.7,2011,2018,8
44,JP Faulkner,2011-2022,153,172,8.14,17.8,2011,2022,12
45,Fawad Ahmed,2013-2023,166,169,6.99,21.2,2013,2023,11
46,CJ Jordan,2014-2025,159,169,8.84,19.0,2014,2025,12
47,DW Steyn,2008-2021,156,167,6.94,20.7,2008,2021,14
48,Hasan Ali,2016-2025,122,164,8.04,16.9,2016,2025,10
49,Mohammed Siraj,2016-2025,144,164,8.34,18.8,2016,2025,10
50,Mujeeb Ur Rahman,2017-2025,153,164,6.64,21.5,2017,2025,9
51,MM Sharma,2013-2025,168,164,8.52,20.1,2013,2025,13
52,PW Hasaranga,2017-2025,111,163,7.08,14.7,2017,2025,9
53,KW Richardson,2011-2025,135,163,7.96,17.6,2011,2025,15
54,KV Sharma,2007-2025,184,161,7.72,20.2,2007,2025,19
55,Taskin Ahmed,2013-2025,120,161,7.84,15.6,2013,2025,13
56,DT Christian,2010-2025,221,158,8.26,20.3,2010,2025,16
57,NM Coulter-Nile,2011-2024,132,158,7.52,18.1,2011,2024,14
58,CJ Green,2015-2025,195,157,6.88,24.5,2015,2025,11
59,Kuldeep Yadav,2014-2025,140,156,7.63,19.1,2014,2025,12
60,BJ Dwarshuis,2014-2025,124,154,8.22,16.7,2014,2025,12
61,Shaheen Shah Afridi,2018-2025,109,154,7.75,15.8,2018,2025,8
62,DL Chahar,2010-2025,141,153,7.78,19.2,2010,2025,16
63,PP Ojha,2007-2018,139,153,7.24,18.5,2007,2018,12
64,Arshdeep Singh,2019-2025,122,152,8.5,16.9,2019,2025,7
65,DS Kulkarni,2007-2023,160,151,7.88,21.4,2007,2023,17
66,Noor Ahmad,2020-2025,125,151,7.29,17.9,2020,2025,6
67,CR Brathwaite,2013-2024,168,149,8.28,19.5,2013,2024,12
68,IK Pathan,2007-2020,165,149,7.58,21.8,2007,2020,14
69,I Sharma,2007-2025,170,149,7.88,23.7,2007,2025,19
70,KH Pandya,2013-2025,203,147,7.21,24.3,2013,2025,13
71,B Laughlin,2011-2021,127,144,8.13,18.0,2011,2021,11
72,D Wiese,2012-2025,168,144,8.3,19.8,2012,2025,14
73,KK Ahmed,2017-2025,110,143,8.48,16.9,2017,2025,9
74,A Nehra,2008-2017,115,143,7.62,17.4,2008,2017,10
75,R Rampaul,2007-2022,110,143,8.0,16.3,2007,2022,16
76,RP Singh,2007-2016,130,143,7.48,19.9,2007,2016,10
77,Naveen-ul-Haq,2019-2025,127,142,8.64,18.5,2019,2025,7
78,DR Sams,2017-2025,115,139,8.61,16.5,2017,2025,9
79,PJ Cummins,2011-2025,130,138,8.57,21.2,2011,2025,15
80,AS Joseph,2016-2025,119,137,8.45,17.6,2016,2025,10
81,Avesh Khan,2017-2025,113,136,8.57,17.9,2017,2025,9
82,AJ Hosein,2014-2025,141,136,6.77,20.4,2014,2025,12
83,P Kumar,2007-2018,168,136,7.45,26.0,2007,2018,12
84,MA Starc,2011-2025,98,135,8.37,15.5,2011,2025,15
85,AB Dinda,2008-2021,137,134,7.71,20.6,2008,2021,14
86,HH Pandya,2013-2025,212,134,8.54,19.7,2013,2025,13
87,Faheem Ashraf,2018-2025,112,132,8.47,16.4,2018,2025,8
88,CH Morris,2012-2021,109,132,7.96,17.4,2012,2021,10
89,Z Khan,2007-2017,128,130,7.51,21.6,2007,2017,11
90,RD Chahar,2017-2025,122,129,7.48,20.4,2017,2025,9
91,RR Emrit,2012-2020,120,129,7.73,18.5,2012,2020,9
92,A Nortje,2020-2025,90,129,7.93,15.8,2020,2025,6
93,JC Archer,2017-2025,104,128,7.69,18.6,2017,2025,9
94,T Shamsi,2015-2025,108,127,7.66,17.2,2015,2025,11
95,MP Stoinis,2012-2025,264,127,9.26,18.0,2012,2025,14
96,RP Meredith,2018-2025,100,126,8.41,17.2,2018,2025,8
97,L Balaji,2008-2014,103,125,7.76,17.0,2008,2014,7
98,TU Deshpande,2015-2025,90,125,8.74,15.4,2015,2025,11
99,S Nadeem,2007-2023,150,125,6.76,25.2,2007,2023,17
100,S Gopal,2014-2024,104,124,7.48,15.6,2014,2024,11
101,Ravi Bishnoi,2019-2025,116,124,7.53,20.4,2019,2025,7
102,M Theekshana,2020-2025,116,122,7.22,21.8,2020,2025,6
103,CV Varun,2019-2025,104,122,7.46,19.0,2019,2025,7
104,GJ Maxwell,2010-2025,320,119,7.86,23.8,2010,2025,16
105,PM Siddle,2009-2025,101,119,7.53,17.4,2009,2025,17
106,M Morkel,2007-2021,107,118,7.7,20.5,2007,2021,15
107,Rubel Hossain,2009-2025,97,118,8.13,16.6,2009,2025,17
108,R Dhawan,2007-2024,134,117,7.58,20.8,2007,2024,18
109,M Muralidaran,2008-2014,111,117,6.38,21.7,2008,2014,7
110,JA Morkel,2007-2018,140,116,8.13,20.5,2007,2018,12
111,R Shepherd,2018-2025,120,116,8.8,16.3,2018,2025,8
112,MG Neser,2011-2025,104,115,8.49,17.6,2011,2025,15
113,S Badree,2009-2018,119,114,6.5,22.0,2009,2018,10
114,SW Tait,2010-2017,87,114,7.99,16.8,2010,2017,8
115,CJ Boyce,2012-2025,105,113,7.55,19.5,2012,2025,14
116,Mohammad Nawaz (3),2016-2025,139,112,7.59,22.3,2016,2025,10
117,K Santokie,2013-2020,82,112,7.7,16.4,2013,2020,8
118,R Bhatia,2007-2019,146,111,7.19,22.7,2007,2019,13
119,BCJ Cutting,2012-2024,182,111,9.0,21.3,2012,2024,13
120,JR Hazlewood,2011-2025,83,111,7.57,16.7,2011,2025,15
121,Mashrafe Mortaza,2007-2024,134,111,7.24,23.8,2007,2024,18
122,NT Ellis,2018-2025,93,110,8.24,18.6,2018,2025,8
123,SNJ O'Keefe,2010-2024,115,110,6.59,20.3,2010,2024,15
124,JH Kallis,2008-2016,160,109,7.56,24.3,2008,2016,9
125,LI Meriwala,2013-2024,72,109,7.23,13.9,2013,2024,12
126,M Ashwin,2016-2024,110,108,7.31,20.9,2016,2024,9
127,Mohammad Sami,2010-2019,94,108,6.95,19.0,2010,2019,10
128,MM Ali,2013-2025,166,107,7.53,18.9,2013,2025,13
129,DE Bollinger,2009-2017,100,107,7.65,20.1,2009,2017,9
130,A Choudhary,2013-2024,83,107,7.38,16.5,2013,2024,12
131,D Pretorius,2012-2025,94,107,8.62,15.8,2012,2025,14
132,WD Parnell,2009-2024,93,106,7.89,17.1,2009,2024,16
133,S Lamichhane,2018-2024,89,105,6.95,18.7,2018,2024,7
134,MJ McClenaghan,2010-2020,98,105,8.61,20.3,2010,2020,11
135,OC McCoy,2017-2025,97,105,8.84,18.2,2017,2025,9
136,AS Rajpoot,2013-2021,87,105,7.75,16.6,2013,2021,9
137,JA Richardson,2016-2025,79,105,7.9,16.5,2016,2025,10
138,KOK Williams,2016-2022,87,105,8.62,16.2,2016,2022,7
139,MG Johnson,2007-2018,95,104,7.67,20.6,2007,2018,12
140,CV Milind,2013-2024,73,104,7.52,14.9,2013,2024,12
141,DP Nannes,2009-2015,94,104,7.19,20.2,2009,2015,7
142,PJ Sangwan,2007-2023,102,104,7.7,20.2,2007,2023,17
143,MT Steketee,2014-2025,78,104,8.94,15.4,2014,2025,12
144,SK Trivedi,2007-2015,103,103,7.68,20.4,2007,2015,9
145,S Aravind,2007-2018,83,102,7.79,16.5,2007,2018,12
146,M Jansen,2021-2025,87,101,8.29,18.1,2021,2025,5
147,Al-Amin Hossain,2012-2025,99,99,8.97,19.5,2012,2025,14
148,Arafat Sunny,2012-2025,106,99,7.01,19.3,2012,2025,14
149,MM Patel,2008-2020,96,99,6.91,21.2,2008,2020,13
150,TG Southee,2010-2024,91,99,8.11,20.4,2010,2024,15
151,GB Hogg,2011-2018,113,98,6.95,24.4,2011,2018,8
152,MS Gony,2008-2020,91,97,7.71,19.5,2008,2020,13
153,T Natarajan,2017-2025,93,97,8.56,20.2,2017,2025,9
154,M Prasidh Krishna,2018-2025,91,97,8.4,20.8,2018,2025,8
155,SS Cottrell,2013-2023,85,96,7.85,17.8,2013,2023,11
156,J Botha,2009-2021,144,95,6.9,27.8,2009,2021,13
157,P Negi,2011-2021,118,95,7.46,19.8,2011,2021,11
158,R Sai Kishore,2018-2025,81,94,6.46,17.6,2018,2025,8
159,VR Aaron,2009-2022,94,93,8.51,20.4,2009,2022,14
160,Naseem Shah,2020-2025,88,93,7.76,20.9,2020,2025,6
161,M Markande,2018-2024,86,92,7.8,18.7,2018,2024,7
162,YK Pathan,2007-2019,262,92,7.5,22.2,2007,2019,13
163,Mohammad Saifuddin,2016-2025,73,91,8.01,16.3,2016,2025,10
164,Basil Thampi,2014-2024,88,90,8.35,20.2,2014,2024,11
165,SM Curran,2019-2025,94,89,9.44,20.1,2019,2025,7
166,SR Patel,2012-2024,108,89,6.91,20.6,2012,2024,13
167,AA Sheth,2015-2024,63,89,7.99,14.1,2015,2024,10
168,Yash Thakur,2019-2025,64,88,8.23,14.6,2019,2025,7
169,Harpreet Brar,2019-2025,96,87,7.39,20.4,2019,2025,7
170,Qais Ahmad,2018-2023,74,87,7.77,17.7,2018,2023,6
171,LH Ferguson,2017-2025,75,86,8.14,18.3,2017,2025,9
172,MC Henriques,2009-2025,220,86,8.01,21.2,2009,2025,17
173,Iqbal Abdulla,2007-2021,104,86,6.86,23.8,2007,2021,15
174,B Lee,2007-2015,97,86,7.15,25.8,2007,2015,9
175,JM Bird,2012-2025,87,85,7.39,20.7,2012,2025,14
176,Mohammad Wasim (1),2021-2025,69,85,8.77,17.6,2021,2025,5
177,I Udana,2009-2024,87,85,8.76,19.8,2009,2024,16
178,Bipul Sharma,2007-2021,105,84,6.23,21.1,2007,2021,15
179,Shafiul Islam,2010-2025,87,84,8.57,19.8,2010,2025,16
180,CV Stephen,2015-2024,49,84,6.95,12.6,2015,2024,10
181,Usama Mir,2016-2025,77,84,8.2,18.8,2016,2025,10
182,RE van der Merwe,2009-2023,88,83,6.89,18.4,2009,2023,15
183,Mohammad Hasnain,2019-2025,68,82,8.88,17.5,2019,2025,7
184,Mahedi Hasan,2016-2025,98,81,7.16,22.2,2016,2025,10
185,TS Mills,2016-2025,66,81,8.59,17.8,2016,2025,10
186,Mohammad Irfan,2015-2024,87,81,6.98,24.0,2015,2024,10
187,WA Agar,2017-2025,64,80,9.13,15.8,2017,2025,9
188,XC Bartlett,2020-2025,64,80,8.61,15.7,2020,2025,6
189,Mehidy Hasan Miraz,2016-2025,112,80,7.57,24.0,2016,2025,10
190,Mohsin Khan,2018-2024,62,80,7.6,16.0,2018,2024,7
191,DG Nalkande,2019-2024,51,80,8.31,12.5,2019,2024,6
192,M Pathirana,2022-2025,58,80,8.61,15.2,2022,2025,4
193,TK Curran,2018-2025,64,79,8.84,16.0,2018,2025,8
194,Shoaib Malik,2007-2025,316,79,7.01,27.8,2007,2025,19
195,Abu Hider,2015-2025,76,78,8.32,18.0,2015,2025,11
196,AN Ahmed,2007-2021,80,78,7.53,19.5,2007,2021,15
197,TS Rogers,2017-2025,61,78,8.42,17.0,2017,2025,9
198,S Sandeep Warrier,2013-2024,83,78,7.34,21.3,2013,2024,12
199,P Awana,2010-2016,59,77,7.49,17.1,2010,2016,7
200,BW Hilfenhaus,2011-2017,66,77,7.88,18.2,2011,2017,7
201,PP Jaswal,2014-2023,60,77,7.62,14.5,2014,2023,10
202,JDS Neesham,2013-2025,109,77,8.88,18.5,2013,2025,13
203,GS Sandhu,2012-2025,78,77,8.09,19.3,2012,2025,14
204,DL Vettori,2007-2015,92,77,6.5,27.4,2007,2015,9
205,SB Wagh,2007-2021,63,77,7.21,15.7,2007,2021,15
206,DJ Willey,2015-2025,73,77,7.81,18.2,2015,2025,11
207,Mohammad Hafeez,2007-2023,185,76,6.58,26.3,2007,2023,17
208,AU Rashid,2009-2024,70,76,7.42,19.0,2009,2024,16
209,SM Boland,2014-2024,62,75,8.41,18.2,2014,2024,11
210,Salman Irshad,2018-2025,59,75,8.95,16.7,2018,2025,8
211,Jalaj S Saxena,2009-2024,71,75,6.62,15.9,2009,2024,16
212,R Shukla,2009-2023,64,75,8.24,17.2,2009,2023,15
213,AC Thomas,2009-2014,66,75,7.21,18.5,2009,2014,6
214,N Thushara,2020-2025,53,75,8.42,14.8,2020,2025,6
215,Washington Sundar,2017-2025,106,75,7.03,26.2,2017,2025,9
216,K Gowtham,2011-2024,92,74,7.18,23.4,2011,2024,14
217,J Suchith,2014-2024,86,74,7.44,23.0,2014,2024,11
218,RS Bopara,2009-2022,169,73,7.54,20.0,2009,2022,14
219,SB Jakati,2007-2018,91,73,7.68,24.3,2007,2018,12
220,Mahmudullah,2007-2025,197,73,7.17,22.4,2007,2025,19
221,DJG Sammy,2009-2020,220,73,8.41,24.1,2009,2020,12
222,Swapnil Singh,2007-2024,89,73,7.31,21.0,2007,2024,18
223,AC Agar,2013-2025,107,72,7.25,27.0,2013,2025,13
224,Azhar Mahmood,2012-2016,57,72,7.66,17.3,2012,2016,5
225,STR Binny,2009-2021,147,72,7.51,20.3,2009,2021,13
226,MJ Swepson,2016-2025,87,72,7.66,24.3,2016,2025,10
227,Farhad Reza,2007-2023,89,71,8.69,20.3,2007,2023,17
228,Shoriful Islam,2019-2025,62,71,9.05,17.7,2019,2025,7
229,OF Smith,2017-2025,77,71,10.0,16.9,2017,2025,9
230,FH Edwards,2007-2021,68,70,8.08,20.0,2007,2021,15
231,R Sharma,2009-2014,69,70,7.12,21.1,2009,2014,6
232,Sikandar Raza,2014-2025,116,70,7.88,20.0,2014,2025,12
233,PV Tambe,2013-2020,64,70,6.92,19.3,2013,2020,8
234,Ali Khan,2016-2025,70,69,8.97,19.9,2016,2025,10
235,SS Bachhav,2016-2024,53,69,6.7,17.3,2016,2024,9
236,A Mithun,2009-2021,74,69,8.41,20.4,2009,2021,13
237,R Tewatia,2014-2025,169,69,7.4,21.3,2014,2025,12
238,IC Pandey,2013-2021,71,68,7.07,21.5,2013,2021,9
239,Khaled Ahmed,2017-2025,55,68,8.57,16.6,2017,2025,9
240,O Thomas,2016-2025,56,68,9.12,15.7,2016,2025,10
241,SK Warne,2008-2013,70,68,7.26,21.7,2008,2013,6
242,Abu Jayed,2015-2025,61,67,8.36,16.0,2015,2025,11
243,FA Allen,2017-2025,108,67,8.09,19.5,2017,2025,9
244,Shahbaz Ahmed,2019-2025,107,67,7.85,23.3,2019,2025,7
245,JK Lalor,2012-2022,65,66,8.4,19.9,2012,2022,11
246,KMA Paul,2017-2024,110,66,9.56,19.2,2017,2024,8
247,Yash Dayal,2019-2025,71,66,8.7,21.2,2019,2025,7
248,Abbas Afridi,2021-2025,49,65,9.49,14.0,2021,2025,5
249,VG Arora,2021-2025,60,65,8.58,19.0,2021,2025,5
250,MJ Dagar,2017-2024,66,65,6.79,21.2,2017,2024,8
251,MR Marsh,2010-2025,152,65,8.65,20.1,2010,2025,16
252,Nazmul Islam,2012-2025,89,65,7.65,23.3,2012,2025,14
253,Anureet Singh,2009-2021,71,64,8.2,21.8,2009,2021,13
254,PL Das,2007-2021,56,64,7.29,17.7,2007,2021,15
255,Hasan Mahmud,2019-2025,61,64,8.27,20.1,2019,2025,7
256,Junaid Khan,2014-2020,53,64,7.65,17.8,2014,2020,7
257,P Prasanth,2007-2018,49,64,6.26,16.4,2007,2018,12
258,T Ravi Teja,2017-2024,42,64,7.77,13.3,2017,2024,8
259,C Sakariya,2019-2025,45,64,7.75,15.9,2019,2025,7
260,Umar Gul,2007-2018,44,64,7.62,14.2,2007,2018,12
261,Ankit Sharma,2010-2024,80,63,7.47,22.9,2010,2024,15
262,H Kerr,2019-2025,61,63,8.26,17.4,2019,2025,7
263,Mukesh Kumar,2016-2025,60,63,9.1,19.5,2016,2025,10
264,L Ngidi,2018-2025,46,63,8.79,15.8,2018,2025,8
265,IS Sodhi,2014-2024,48,63,7.47,16.6,2014,2024,11
266,SM Fallah,2009-2021,58,62,7.37,20.7,2009,2021,13
267,AK Karnewar,2016-2023,64,62,6.5,20.4,2016,2023,8
268,T Sangha,2020-2025,48,62,7.5,15.8,2020,2025,6
269,DA Jadeja,2014-2024,69,61,6.91,21.3,2014,2024,11
270,Joginder Sharma,2007-2017,63,61,7.06,20.1,2007,2017,11
271,Kamrul Islam Rabbi,2015-2025,60,61,9.25,16.5,2015,2025,11
272,CJ McKay,2009-2017,51,61,7.86,17.4,2009,2017,9
273,AD Mathews,2009-2024,126,61,7.51,25.5,2009,2024,16
274,BAW Mendis,2008-2016,49,61,7.02,18.0,2008,2016,9
275,AR Nagwaswalla,2019-2024,39,61,7.46,13.4,2019,2024,6
276,MJ Santner,2014-2025,66,61,6.79,20.7,2014,2025,12
277,Taijul Islam,2012-2025,79,61,7.26,22.6,2012,2025,14
278,Zaman Khan,2022-2025,52,61,8.59,17.4,2022,2025,4
279,RL Chase,2018-2025,78,60,6.78,19.8,2018,2025,8
280,SS Ghosh,2014-2024,41,60,7.48,14.6,2014,2024,11
281,Khushdil Shah,2017-2025,97,60,7.18,16.3,2017,2025,9
282,N McAndrew,2016-2025,68,60,8.8,20.6,2016,2025,10
283,NA Saini,2016-2023,74,60,7.7,26.1,2016,2023,8
284,B Stanlake,2015-2025,65,60,8.18,22.3,2015,2025,11
285,LA Dawson,2012-2025,80,59,7.49,21.6,2012,2025,14
286,MB Murasingh,2009-2024,73,59,7.41,25.0,2009,2024,16
287,Parvez Rasool,2011-2022,70,59,6.46,25.6,2011,2022,12
288,K Pierre,2017-2025,67,59,6.96,21.7,2017,2025,9
289,Sohag Gazi,2012-2025,73,59,7.57,23.1,2012,2025,14
290,Usman Shinwari,2017-2022,55,59,8.19,18.6,2017,2022,6
291,JW Hastings,2010-2018,50,58,7.84,17.6,2010,2018,9
292,KA Maharaj,2014-2025,65,58,7.42,22.2,2014,2025,12
293,A Madhwal,2019-2025,50,58,8.89,17.3,2019,2025,7
294,KR Mayers,2013-2025,140,58,7.92,23.9,2013,2025,13
295,DW Misal,2013-2024,73,58,7.11,23.1,2013,2024,12
296,G Motie,2021-2025,52,58,7.18,17.5,2021,2025,5
297,KV Sasikanth,2015-2024,54,58,8.23,19.3,2015,2024,10
298,Tanvir Islam,2017-2025,57,58,7.31,17.9,2017,2025,9
299,JE Taylor,2009-2019,61,58,8.67,22.6,2009,2019,11
300,DJ Worrall,2014-2024,59,58,7.77,20.9,2014,2024,11
301,A Ashish Reddy,2009-2019,77,57,8.01,16.4,2009,2019,11
302,SZ Mulani,2018-2024,51,57,6.96,19.1,2018,2024,7
303,RA Reifer,2013-2024,83,57,8.92,14.5,2013,2024,12
304,Yuvraj Singh,2007-2019,198,57,7.6,22.7,2007,2019,13
305,Azmatullah Omarzai,2022-2025,66,56,8.95,20.1,2022,2025,4
306,PVD Chameera,2016-2025,61,56,8.95,22.7,2016,2025,10
307,RP Dahiya,2009-2018,46,55,7.81,16.0,2009,2018,10
308,N Pradeep,2018-2024,38,55,9.51,13.5,2018,2024,7
309,CS Jani,2013-2024,65,55,7.55,22.7,2013,2024,12
310,SH Johnson,2023-2025,43,55,8.12,16.9,2023,2025,3
311,M Kelly,2018-2025,39,55,8.11,15.1,2018,2025,8
312,Saeed Ajmal,2009-2017,44,55,7.08,18.0,2009,2017,9
313,Nasir Hossain,2012-2023,89,54,7.38,20.7,2012,2023,12
314,Nasum Ahmed,2015-2025,67,54,7.05,24.9,2015,2025,11
315,Baltej Singh,2016-2024,41,53,7.62,17.0,2016,2024,9
316,Fazalhaq Farooqi,2022-2025,44,53,7.96,18.0,2022,2025,4
317,B Fernando,2020-2025,42,53,7.1,16.6,2020,2025,6
318,A Kumble,2008-2010,52,53,6.72,22.6,2008,2010,3
319,S Sreesanth,2007-2021,62,53,8.3,23.2,2007,2021,15
320,AA Wakhare,2009-2022,62,53,6.83,23.1,2009,2022,14
321,Waqar Salamkheil,2019-2025,43,53,8.44,16.6,2019,2025,7
322,Lalit Yadav,2018-2024,82,53,7.02,22.7,2018,2024,7
323,Akash Deep,2019-2025,48,52,8.2,19.3,2019,2025,7
324,S Bhati,2016-2021,44,52,7.68,17.2,2016,2021,6
325,CT Gaja,2014-2024,43,52,7.66,15.8,2014,2024,11
326,RJ Harris,2009-2014,43,52,7.58,18.6,2009,2014,6
327,VY Mahesh,2007-2014,46,52,7.72,17.8,2007,2014,8
328,M Ravi Kiran,2014-2024,47,52,7.33,19.4,2014,2024,11
329,Rumman Raees,2016-2024,52,52,7.83,20.5,2016,2024,9
330,Umran Malik,2021-2024,45,52,8.93,17.4,2021,2024,4
331,Vikash Singh,2014-2024,52,52,7.98,20.0,2014,2024,11
332,J Yadav,2013-2023,88,52,6.33,30.9,2013,2023,11
333,Yasir Arafat,2007-2015,40,52,8.3,15.5,2007,2015,9
334,Anwar Ali,2016-2024,66,51,9.31,22.0,2016,2024,9
335,OEG Baartman,2023-2025,32,51,7.45,12.7,2023,2025,3
336,BA Bhatt,2011-2021,58,51,7.31,21.8,2011,2021,11
337,Gurinder Singh,2013-2022,59,51,6.74,22.4,2013,2022,10
338,K Kartikeya,2019-2025,45,51,7.31,17.7,2019,2025,7
339,V Permaul,2013-2024,73,51,6.83,27.8,2013,2024,12
340,N Rana,2013-2025,202,51,7.05,18.0,2013,2025,13
341,V Vyshak,2021-2025,41,51,8.86,16.9,2021,2025,5
342,L Wood,2022-2025,40,51,8.53,17.6,2022,2025,4
343,Abdur Razzak,2007-2017,51,50,7.03,20.1,2007,2017,11
344,KC Cariappa,2015-2024,52,50,6.54,23.1,2015,2024,10
345,Shivam Mavi,2018-2024,55,50,8.18,22.6,2018,2024,7
346,Sumit Kumar,2019-2024,56,50,7.46,14.8,2019,2024,6
347,Umaid Asif,2012-2023,48,50,8.46,21.2,2012,2023,12
348,CR Woakes,2013-2025,41,50,8.72,16.7,2013,2025,13
349,LA Garg,2014-2023,50,49,8.0,20.5,2014,2023,10
350,RB Kalaria,2013-2022,40,49,6.76,17.6,2013,2022,10
351,Shohidul Islam,2016-2024,37,49,8.3,16.0,2016,2024,9
352,DR Smith,2007-2019,234,49,8.76,23.8,2007,2019,13
353,HTRJY Thornton,2017-2025,32,49,8.69,13.6,2017,2025,9
354,B Ayyappa,2014-2022,40,48,7.37,18.2,2014,2022,9
355,V Koushik,2019-2024,38,48,7.7,16.6,2019,2024,6
356,Mosharraf Hossain,2012-2019,47,48,6.37,18.7,2012,2019,8
357,Mukesh Choudhary,2019-2025,36,48,9.16,15.4,2019,2025,7
358,JL Pattinson,2010-2022,42,48,8.6,18.2,2010,2022,13
359,Anand Rajan,2007-2013,31,47,6.82,14.6,2007,2013,7
360,MA Beer,2011-2019,68,47,6.62,29.6,2011,2019,9
361,CH Gayle,2007-2022,356,47,7.9,29.7,2007,2022,16
362,JS Paris,2013-2025,52,47,8.61,21.1,2013,2025,13
363,L Pope,2018-2025,40,47,8.43,16.4,2018,2025,8
364,SB Pradhan,2013-2022,52,47,6.97,21.4,2013,2022,10
365,LR Shukla,2007-2015,81,47,7.11,20.7,2007,2015,9
366,Zahir Khan,2017-2024,53,47,7.47,24.0,2017,2024,8
367,Akif Javed,2020-2025,34,46,8.37,15.1,2020,2025,6
368,Amit Yadav,2007-2022,48,46,6.48,20.6,2007,2022,16
369,RT Arothe,2014-2019,45,46,8.29,18.0,2014,2019,6
370,JP Duminy,2007-2019,149,46,7.72,24.1,2007,2019,13
371,CJ Gannon,2012-2025,40,46,9.17,17.0,2012,2025,14
372,AH Hooda,2011-2019,50,46,7.02,20.5,2011,2019,9
373,SK Raina,2008-2021,288,46,7.04,29.6,2008,2021,14
374,Tanzim Hasan Sakib,2023-2025,32,46,8.44,14.6,2023,2025,3
375,AB Agarkar,2007-2013,61,45,8.28,25.7,2007,2013,7
376,P Hatzoglou,2020-2025,54,45,7.76,24.5,2020,2025,6
377,NM Lyon,2011-2023,42,45,7.24,18.4,2011,2023,13
378,U Manukrishnan,2011-2023,47,45,6.74,20.1,2011,2023,13
379,DG Pathania,2017-2022,40,45,7.4,19.3,2017,2022,6
380,NJ Rimmington,2011-2017,47,45,7.93,19.6,2011,2017,7
381,RS Shah,2011-2021,46,45,6.93,20.1,2011,2021,11
382,Shahnawaz Dahani,2021-2024,34,45,8.99,15.1,2021,2024,4
383,J Theron,2010-2015,40,45,7.91,19.3,2010,2015,6
384,MA Avasthi,2021-2024,28,44,8.23,14.2,2021,2024,4
385,M Kartik,2008-2014,77,44,7.05,35.7,2008,2014,7
386,MP Kuhnemann,2019-2025,55,44,7.62,23.0,2019,2025,7
387,VS Malik,2007-2014,41,44,7.34,18.7,2007,2014,8
388,AJ Mandal,2017-2024,46,44,7.11,19.8,2017,2024,8
389,R Parag,2017-2025,128,44,7.38,25.8,2017,2025,9
